Час t,Вразливі,Заражені,Одужали
78.7878787878788,-8.053916430560747e-11,11.053626888458103,488.94637311162296
79.7979797979798,-8.567265921374342e-11,10.509226119783639,489.4907738803025
80.80808080808082,-7.323473547503048e-11,9.991637565435088,490.0083624346386
81.81818181818183,-6.09109850852268e-11,9.499540702347431,490.500459297714
82.82828282828284,-5.6954313249348325e-11,9.031680027758682,490.9683199722988
83.83838383838385,-5.820844924454372e-11,8.586861906327833,491.4131380937309
84.84848484848486,-5.782658975284672e-11,8.16395146171218,491.8360485383462
85.85858585858587,-5.58576598018827e-11,7.761869724861269,492.2381302751951
86.86868686868688,-5.34987757629951e-11,7.379590866209572,492.6204091338444
87.87878787878789,-5.0827876116630284e-11,7.016139573690124,492.9838604263613
88.8888888888889,-4.7111191900922745e-11,6.670588578733738,493.3294114213139
